iso2c,iso3c,country,date,indicator_id,value,indicator_category
GB,GBR,United Kingdom,2018,NV.AGR.TOTL.ZS,0.571108913982411,Economic
GB,GBR,United Kingdom,2018,NV.IND.MANF.ZS,8.95235988968101,Economic
GB,GBR,United Kingdom,2018,NV.SRV.TOTL.ZS,70.748695351586,Economic
GB,GBR,United Kingdom,2018,NY.GDP.MKTP.CD,2871340347581.79,Economic
GB,GBR,United Kingdom,2018,NY.GDP.PCAP.CD,43203.8141057739,Economic
GB,GBR,United Kingdom,2018,NY.GDP.PCAP.PP.CD,47090.4848967293,Economic
GB,GBR,United Kingdom,2018,SE.ENR.TERT.FM.ZS,1.26346004009247,Education
GB,GBR,United Kingdom,2018,SE.PRM.CMPT.FE.ZS,98.4677200317383,Education
GB,GBR,United Kingdom,2018,SG.GEN.PARL.ZS,32.1538461538462,Rights
GB,GBR,United Kingdom,2018,SH.STA.MMRT,9,Health
GB,GBR,United Kingdom,2018,SL.TLF.CACT.FE.ZS,57.514,Employment
GB,GBR,United Kingdom,2018,SL.TLF.CACT.FM.ZS,84.6167426805944,Employment
GB,GBR,United Kingdom,2018,SL.UEM.TOTL.FE.ZS,4.044,Employment
GB,GBR,United Kingdom,2018,SP.ADO.TFRT,12.068,Health
GB,GBR,United Kingdom,2018,SP.DYN.LE00.FE.IN,83.1,Health
GB,GBR,United Kingdom,2019,NV.AGR.TOTL.ZS,0.604721474036011,Economic
GB,GBR,United Kingdom,2019,NV.IND.MANF.ZS,8.79681958314551,Economic
GB,GBR,United Kingdom,2019,NV.SRV.TOTL.ZS,70.9729663672081,Economic
GB,GBR,United Kingdom,2019,NY.GDP.MKTP.CD,2851407164907.81,Economic
GB,GBR,United Kingdom,2019,NY.GDP.PCAP.CD,42662.5353740311,Economic
GB,GBR,United Kingdom,2019,NY.GDP.PCAP.PP.CD,49911.1566522001,Economic
GB,GBR,United Kingdom,2019,SE.ENR.TERT.FM.ZS,1.26252996921539,Education
GB,GBR,United Kingdom,2019,SE.PRM.CMPT.FE.ZS,100.199798583984,Education
GB,GBR,United Kingdom,2019,SG.GEN.PARL.ZS,32,Rights
GB,GBR,United Kingdom,2019,SH.STA.MMRT,9,Health
GB,GBR,United Kingdom,2019,SL.TLF.CACT.FE.ZS,58.009,Employment
GB,GBR,United Kingdom,2019,SL.TLF.CACT.FM.ZS,86.0310256866584,Employment
GB,GBR,United Kingdom,2019,SL.UEM.TOTL.FE.ZS,3.414,Employment
GB,GBR,United Kingdom,2019,SP.ADO.TFRT,11.064,Health
GB,GBR,United Kingdom,2019,SP.DYN.LE00.FE.IN,83.275,Health
GB,GBR,United Kingdom,2020,NV.AGR.TOTL.ZS,0.671076489218374,Economic
GB,GBR,United Kingdom,2020,NV.IND.MANF.ZS,8.99725503283597,Economic
