iso2c,iso3c,country,date,indicator_id,value,indicator_category
IN,IND,India,2018,NV.AGR.TOTL.ZS,16.031630686449,Economic
IN,IND,India,2018,NV.IND.MANF.ZS,14.8815306673017,Economic
IN,IND,India,2018,NV.SRV.TOTL.ZS,48.4315663156522,Economic
IN,IND,India,2018,NY.GDP.MKTP.CD,2702929641648.74,Economic
IN,IND,India,2018,NY.GDP.PCAP.CD,1966.25455171679,Economic
IN,IND,India,2018,NY.GDP.PCAP.PP.CD,6714.96639877754,Economic
IN,IND,India,2018,SE.ENR.TERT.FM.ZS,1.04004406929016,Education
IN,IND,India,2018,SG.GEN.PARL.ZS,11.8081180811808,Rights
IN,IND,India,2018,SH.STA.MMRT,107,Health
IN,IND,India,2018,SL.TLF.CACT.FE.ZS,26.581,Employment
IN,IND,India,2018,SL.TLF.CACT.FM.ZS,34.5333367977966,Employment
IN,IND,India,2018,SL.UEM.TOTL.FE.ZS,7.713,Employment
IN,IND,India,2018,SP.ADO.TFRT,15.133,Health
IN,IND,India,2018,SP.DYN.LE00.FE.IN,71.963,Health
IN,IND,India,2019,NV.AGR.TOTL.ZS,16.7555683032837,Economic
IN,IND,India,2019,NV.IND.MANF.ZS,13.4558075633394,Economic
IN,IND,India,2019,NV.SRV.TOTL.ZS,50.0849578546822,Economic
IN,IND,India,2019,NY.GDP.MKTP.CD,2835606256558.19,Economic
IN,IND,India,2019,NY.GDP.PCAP.CD,2041.42863698585,Economic
IN,IND,India,2019,NY.GDP.PCAP.PP.CD,7150.92423452926,Economic
IN,IND,India,2019,SE.ENR.TERT.FM.ZS,1.07897913455963,Education
IN,IND,India,2019,SE.PRM.CMPT.FE.ZS,97.2928695678711,Education
IN,IND,India,2019,SG.GEN.PARL.ZS,14.3911439114391,Rights
IN,IND,India,2019,SH.STA.MMRT,101,Health
IN,IND,India,2019,SL.TLF.CACT.FE.ZS,26.549,Employment
IN,IND,India,2019,SL.TLF.CACT.FM.ZS,34.6574591405149,Employment
IN,IND,India,2019,SL.UEM.TOTL.FE.ZS,6.073,Employment
IN,IND,India,2019,SP.ADO.TFRT,14.796,Health
IN,IND,India,2019,SP.DYN.LE00.FE.IN,72.287,Health
IN,IND,India,2020,NV.AGR.TOTL.ZS,18.6685376603727,Economic
IN,IND,India,2020,NV.IND.MANF.ZS,14.1204853576923,Economic
IN,IND,India,2020,NV.SRV.TOTL.ZS,47.9326881092162,Economic
IN,IND,India,2020,NY.GDP.MKTP.CD,2674851578587.27,Economic
IN,IND,India,2020,NY.GDP.PCAP.CD,1907.04251637669,Economic
IN,IND,India,2020,NY.GDP.PCAP.PP.CD,6966.27542785911,Economic
IN,IND,India,2020,SE.ENR.TERT.FM.ZS,1.08793079853058,Education
IN,IND,India,2020,SE.PRM.CMPT.FE.ZS,99.0501480102539,Education
IN,IND,India,2020,SG.GEN.PARL.ZS,14.3646408839779,Rights
IN,IND,India,2020,SH.STA.MMRT,101,Health
IN,IND,India,2020,SL.TLF.CACT.FE.ZS,25.998,Employment
IN,IND,India,2020,SL.TLF.CACT.FM.ZS,34.3466370734414,Employment
IN,IND,India,2020,SL.UEM.TOTL.FE.ZS,6.749,Employment
IN,IND,India,2020,SP.ADO.TFRT,14.423,Health
IN,IND,India,2020,SP.DYN.LE00.FE.IN,71.938,Health
IN,IND,India,2021,NV.AGR.TOTL.ZS,17.3725615260314,Economic
IN,IND,India,2021,NV.IND.MANF.ZS,14.3770288531286,Economic
IN,IND,India,2021,NV.SRV.TOTL.ZS,47.8472234596709,Economic
IN,IND,India,2021,NY.GDP.MKTP.CD,3167270623260.47,Economic
IN,IND,India,2021,NY.GDP.PCAP.CD,2239.61384367482,Economic
IN,IND,India,2021,NY.GDP.PCAP.PP.CD,8050.01857452664,Economic
IN,IND,India,2021,SE.ENR.TERT.FM.ZS,1.04796326160431,Education
IN,IND,India,2021,SE.PRM.CMPT.FE.ZS,99.6446990966797,Education
IN,IND,India,2021,SG.GEN.PARL.ZS,14.4444444444444,Rights
IN,IND,India,2021,SH.STA.MMRT,155,Health
IN,IND,India,2021,SL.TLF.CACT.FE.ZS,27.724,Employment
IN,IND,India,2021,SL.TLF.CACT.FM.ZS,36.496235058712,Employment
IN,IND,India,2021,SL.UEM.TOTL.FE.ZS,5.394,Employment
IN,IND,India,2021,SP.ADO.TFRT,14.289,Health
IN,IND,India,2021,SP.DYN.LE00.FE.IN,68.835,Health
IN,IND,India,2022,NV.AGR.TOTL.ZS,16.6394310409691,Economic
IN,IND,India,2022,NV.IND.MANF.ZS,13.1224776704381,Economic
IN,IND,India,2022,NV.SRV.TOTL.ZS,49.5769340735273,Economic
IN,IND,India,2022,NY.GDP.MKTP.CD,3353470496886.33,Economic
IN,IND,India,2022,NY.GDP.PCAP.CD,2352.61392452078,Economic
IN,IND,India,2022,NY.GDP.PCAP.PP.CD,9153.88084185646,Economic
IN,IND,India,2022,SE.ADT.LITR.FE.ZS,69,Education
IN,IND,India,2022,SE.ENR.TERT.FM.ZS,1.03357243537903,Education
IN,IND,India,2022,SG.GEN.PARL.ZS,14.9446494464945,Rights
IN,IND,India,2022,SH.STA.MMRT,90,Health
IN,IND,India,2022,SL.TLF.CACT.FE.ZS,29.479,Employment
IN,IND,India,2022,SL.TLF.CACT.FM.ZS,38.6194518681549,Employment
IN,IND,India,2022,SL.UEM.TOTL.FE.ZS,4.588,Employment
IN,IND,India,2022,SP.ADO.TFRT,14.185,Health
IN,IND,India,2022,SP.DYN.LE00.FE.IN,73.271,Health
